Date,PeriodNum,HDigit,TDigit,Digit
2015-01-01,2015001,2,4,5
2015-01-02,2015002,0,4,7
2015-01-03,2015003,0,2,9
2015-01-04,2015004,9,3,7
2015-01-05,2015005,0,3,1
2015-01-06,2015006,0,5,3
2015-01-07,2015007,0,5,5
2015-01-08,2015008,9,1,9
2015-01-09,2015009,7,3,0
2015-01-10,2015010,5,9,9
2015-01-11,2015011,6,6,0
2015-01-12,2015012,0,4,7
2015-01-13,2015013,7,6,4
2015-01-14,2015014,4,0,2
2015-01-15,2015015,2,0,7
2015-01-16,2015016,6,5,6
2015-01-17,2015017,0,2,7
2015-01-18,2015018,9,0,2
2015-01-19,2015019,9,0,9
2015-01-20,2015020,7,3,1
2015-01-21,2015021,7,0,0
2015-01-22,2015022,9,8,2
2015-01-23,2015023,3,2,5
2015-01-24,2015024,8,7,5
2015-01-25,2015025,2,1,8
2015-01-26,2015026,0,6,8
2015-01-27,2015027,4,5,2
2015-01-28,2015028,2,8,3
2015-01-29,2015029,3,6,7
2015-01-30,2015030,2,7,8
2015-01-31,2015031,1,1,7
2015-02-01,2015032,7,1,1
2015-02-02,2015033,1,5,0
2015-02-03,2015034,1,7,8
2015-02-04,2015035,7,4,4
2015-02-05,2015036,2,7,5
2015-02-06,2015037,8,3,3
2015-02-07,2015038,0,4,3
2015-02-08,2015039,0,9,4
2015-02-09,2015040,0,7,6
2015-02-10,2015041,7,9,4
2015-02-11,2015042,5,2,1
2015-02-12,2015043,2,2,4
2015-02-13,2015044,8,6,1
2015-02-14,2015045,6,5,6
2015-02-15,2015046,6,3,6
2015-02-16,2015047,7,9,9
2015-02-17,2015048,4,7,2
2015-02-25,2015049,0,4,3
2015-02-26,2015050,6,8,3
2015-02-27,2015051,1,6,3
2015-02-28,2015052,1,9,7
2015-03-01,2015053,6,2,2
2015-03-02,2015054,3,9,5
2015-03-03,2015055,4,6,4
2015-03-04,2015056,7,8,3
2015-03-05,2015057,8,5,6
2015-03-06,2015058,5,6,9
2015-03-07,2015059,8,8,9
2015-03-08,2015060,6,4,0
2015-03-09,2015061,2,8,5
2015-03-10,2015062,8,2,7
2015-03-11,2015063,5,4,7
2015-03-12,2015064,3,6,8
2015-03-13,2015065,7,9,9
2015-03-14,2015066,6,8,8
2015-03-15,2015067,4,4,2
2015-03-16,2015068,7,5,7
2015-03-17,2015069,1,5,8
2015-03-18,2015070,1,9,6
2015-03-19,2015071,8,0,7
2015-03-20,2015072,5,6,1
2015-03-21,2015073,6,8,0
2015-03-22,2015074,8,4,0
2015-03-23,2015075,4,9,0
2015-03-24,2015076,2,8,8
2015-03-25,2015077,3,0,1
2015-03-26,2015078,4,9,1
2015-03-27,2015079,6,2,2
2015-03-28,2015080,8,1,0
2015-03-29,2015081,2,2,4
2015-03-30,2015082,0,6,9
2015-03-31,2015083,1,7,8
2015-04-01,2015084,7,1,8
2015-04-02,2015085,9,4,7
2015-04-03,2015086,4,7,2
2015-04-04,2015087,3,1,4
2015-04-05,2015088,9,5,5
2015-04-06,2015089,8,3,6
2015-04-07,2015090,8,9,9
2015-04-08,2015091,3,4,9
2015-04-09,2015092,6,3,4
2015-04-10,2015093,3,6,7
2015-04-11,2015094,5,6,5
2015-04-12,2015095,7,4,6
2015-04-13,2015096,7,9,6
2015-04-14,2015097,2,6,8
2015-04-15,2015098,3,0,9
2015-04-16,2015099,3,2,6
2015-04-17,2015100,8,8,7
2015-04-18,2015101,4,3,8
2015-04-19,2015102,9,3,6
2015-04-20,2015103,7,7,6
2015-04-21,2015104,6,7,4
2015-04-22,2015105,1,3,9
2015-04-23,2015106,2,4,1
2015-04-24,2015107,4,1,5
2015-04-25,2015108,7,5,8
2015-04-26,2015109,4,7,4
2015-04-27,2015110,9,8,8
2015-04-28,2015111,8,7,1
2015-04-29,2015112,4,5,1
2015-04-30,2015113,4,0,5
2015-05-01,2015114,8,4,4
2015-05-02,2015115,5,9,8
2015-05-03,2015116,7,7,1
2015-05-04,2015117,7,1,6
2015-05-05,2015118,6,0,7
2015-05-06,2015119,0,7,9
2015-05-07,2015120,7,8,4
2015-05-08,2015121,2,2,7
2015-05-09,2015122,2,7,4
2015-05-10,2015123,2,4,0
2015-05-11,2015124,5,9,9
2015-05-12,2015125,2,5,9
2015-05-13,2015126,9,7,1
2015-05-14,2015127,0,9,7
2015-05-15,2015128,3,1,3
2015-05-16,2015129,0,5,5
2015-05-17,2015130,2,1,8
2015-05-18,2015131,4,7,1
2015-05-19,2015132,6,8,5
2015-05-20,2015133,0,0,1
2015-05-21,2015134,6,6,1
2015-05-22,2015135,2,3,1
2015-05-23,2015136,3,7,8
2015-05-24,2015137,2,3,9
2015-05-25,2015138,1,8,2
2015-05-26,2015139,3,3,9
2015-05-27,2015140,7,5,5
2015-05-28,2015141,8,1,2
2015-05-29,2015142,3,6,0
2015-05-30,2015143,8,8,0
2015-05-31,2015144,9,8,0
2015-06-01,2015145,1,9,7
2015-06-02,2015146,4,6,1
2015-06-03,2015147,3,3,1
2015-06-04,2015148,7,5,0
2015-06-05,2015149,0,2,2
2015-06-06,2015150,2,7,5
2015-06-07,2015151,4,3,0
2015-06-08,2015152,6,6,0
2015-06-09,2015153,4,5,1
2015-06-10,2015154,4,1,1
2015-06-11,2015155,1,8,8
2015-06-12,2015156,8,2,7
2015-06-13,2015157,2,2,2
2015-06-14,2015158,0,3,7
2015-06-15,2015159,8,4,7
2015-06-16,2015160,2,9,7
2015-06-17,2015161,8,2,3
2015-06-18,2015162,0,3,9
2015-06-19,2015163,0,3,0
2015-06-20,2015164,1,3,3
2015-06-21,2015165,5,6,7
2015-06-22,2015166,1,8,9
2015-06-23,2015167,6,0,1
2015-06-24,2015168,3,0,6
2015-06-25,2015169,5,1,1
2015-06-26,2015170,3,1,3
2015-06-27,2015171,6,7,2
2015-06-28,2015172,8,6,4
2015-06-29,2015173,4,9,8
2015-06-30,2015174,5,0,3
2015-07-01,2015175,7,4,3
2015-07-02,2015176,7,7,3
2015-07-03,2015177,6,0,5
2015-07-04,2015178,1,4,1
2015-07-05,2015179,3,8,1
2015-07-06,2015180,7,0,2
2015-07-07,2015181,2,8,1
2015-07-08,2015182,4,1,7
2015-07-09,2015183,7,3,1
2015-07-10,2015184,1,1,9
2015-07-11,2015185,8,7,0
2015-07-12,2015186,5,1,9
2015-07-13,2015187,8,7,8
2015-07-14,2015188,6,6,3
2015-07-15,2015189,2,2,4
2015-07-16,2015190,4,0,8
2015-07-17,2015191,7,1,3
2015-07-18,2015192,7,7,4
