Date,PeriodNum,HDigit,TDigit,Digit
2018-01-01,2018001,3,2,6
2018-01-02,2018002,9,2,8
2018-01-03,2018003,7,3,6
2018-01-04,2018004,3,9,3
2018-01-05,2018005,8,2,8
2018-01-06,2018006,7,2,0
2018-01-07,2018007,0,2,1
2018-01-08,2018008,5,8,3
2018-01-09,2018009,8,1,3
2018-01-10,2018010,8,5,8
2018-01-11,2018011,0,7,8
2018-01-12,2018012,8,9,1
2018-01-13,2018013,7,4,6
2018-01-14,2018014,0,8,4
2018-01-15,2018015,8,7,5
2018-01-16,2018016,4,0,1
2018-01-17,2018017,6,5,9
2018-01-18,2018018,8,1,0
2018-01-19,2018019,1,7,9
2018-01-20,2018020,7,4,9
2018-01-21,2018021,2,7,2
2018-01-22,2018022,9,9,2
2018-01-23,2018023,1,0,2
2018-01-24,2018024,6,6,4
2018-01-25,2018025,6,4,7
2018-01-26,2018026,9,3,2
2018-01-27,2018027,9,7,3
2018-01-28,2018028,8,2,8
2018-01-29,2018029,3,1,3
2018-01-30,2018030,6,8,2
2018-01-31,2018031,3,2,8
2018-02-01,2018032,7,1,2
2018-02-02,2018033,7,6,7
2018-02-03,2018034,6,7,6
2018-02-04,2018035,8,5,6
2018-02-05,2018036,3,6,5
2018-02-06,2018037,6,9,5
2018-02-07,2018038,8,5,9
2018-02-08,2018039,7,0,6
2018-02-09,2018040,6,8,4
2018-02-10,2018041,6,5,1
2018-02-11,2018042,1,3,1
2018-02-12,2018043,5,2,7
2018-02-13,2018044,9,0,2
2018-02-14,2018045,2,0,3
2018-02-22,2018046,3,4,7
2018-02-23,2018047,5,5,8
2018-02-24,2018048,6,9,3
2018-02-25,2018049,5,4,1
2018-02-26,2018050,8,7,5
2018-02-27,2018051,6,2,0
2018-02-28,2018052,3,6,9
2018-03-01,2018053,1,5,4
2018-03-02,2018054,3,2,5
2018-03-03,2018055,1,6,0
2018-03-04,2018056,9,0,8
2018-03-05,2018057,9,7,7
2018-03-06,2018058,7,2,3
2018-03-07,2018059,9,4,7
2018-03-08,2018060,7,6,7
2018-03-09,2018061,5,2,5
2018-03-10,2018062,7,9,2
2018-03-11,2018063,6,1,3
2018-03-12,2018064,3,3,9
2018-03-13,2018065,8,4,8
2018-03-14,2018066,0,9,5
2018-03-15,2018067,8,5,8
2018-03-16,2018068,4,4,8
2018-03-17,2018069,1,1,9
2018-03-18,2018070,5,6,7
2018-03-19,2018071,7,7,9
2018-03-20,2018072,4,7,3
2018-03-21,2018073,2,7,5
2018-03-22,2018074,8,1,5
2018-03-23,2018075,8,6,1
2018-03-24,2018076,7,8,5
2018-03-25,2018077,2,4,6
2018-03-26,2018078,6,1,6
2018-03-27,2018079,3,6,9
2018-03-28,2018080,8,7,9
2018-03-29,2018081,7,5,8
2018-03-30,2018082,5,4,9
2018-03-31,2018083,2,6,6
2018-04-01,2018084,5,1,9
2018-04-02,2018085,9,0,3
2018-04-03,2018086,1,8,6
2018-04-04,2018087,5,1,3
2018-04-05,2018088,0,9,9
2018-04-06,2018089,6,6,8
2018-04-07,2018090,6,7,1
2018-04-08,2018091,1,0,2
2018-04-09,2018092,2,3,1
2018-04-10,2018093,2,0,9
2018-04-11,2018094,1,3,6
2018-04-12,2018095,2,4,1
2018-04-13,2018096,2,4,3
